ID,answer
TG_A_J_20230304,3010.1
TG_A_J_20230305,0.0
TG_A_J_20230306,3039.4
TG_A_J_20230307,3435.4
TG_A_J_20230308,3385.0
TG_A_J_20230309,3393.1
TG_A_J_20230310,3518.0
TG_A_J_20230311,3200.4
TG_A_J_20230312,0.0
TG_A_J_20230313,3273.9
TG_A_J_20230314,3457.9
TG_A_J_20230315,3465.2
TG_A_J_20230316,3518.1
TG_A_J_20230317,3522.5
TG_A_J_20230318,3415.0
TG_A_J_20230319,0.0
TG_A_J_20230320,3469.2
TG_A_J_20230321,3542.6
TG_A_J_20230322,3567.0
TG_A_J_20230323,3624.5
TG_A_J_20230324,3614.0
TG_A_J_20230325,3575.4
TG_A_J_20230326,0.0
TG_A_J_20230327,3631.6
TG_A_J_20230328,3667.4
TG_A_J_20230329,3674.6
TG_A_J_20230330,3708.3
TG_A_J_20230331,3704.8
TG_A_S_20230304,4272.9
TG_A_S_20230305,0.0
TG_A_S_20230306,3812.7
TG_A_S_20230307,3815.3
TG_A_S_20230308,4003.5
TG_A_S_20230309,4137.9
TG_A_S_20230310,4073.7
TG_A_S_20230311,4341.0
TG_A_S_20230312,0.0
TG_A_S_20230313,3614.5
TG_A_S_20230314,3694.8
TG_A_S_20230315,3908.0
TG_A_S_20230316,4061.6
TG_A_S_20230317,4049.6
TG_A_S_20230318,4379.7
TG_A_S_20230319,0.0
TG_A_S_20230320,3538.5
TG_A_S_20230321,3661.8
TG_A_S_20230322,3915.5
TG_A_S_20230323,4109.8
TG_A_S_20230324,4148.6
TG_A_S_20230325,4497.0
TG_A_S_20230326,0.0
TG_A_S_20230327,3613.9
TG_A_S_20230328,3754.2
TG_A_S_20230329,3988.4
TG_A_S_20230330,4182.2
TG_A_S_20230331,4256.7
TG_B_J_20230304,3128.4
TG_B_J_20230305,0.0
TG_B_J_20230306,3230.6
TG_B_J_20230307,3129.7
TG_B_J_20230308,4730.0
TG_B_J_20230309,3569.6
TG_B_J_20230310,3393.2
TG_B_J_20230311,3304.9
TG_B_J_20230312,0.0
TG_B_J_20230313,3148.0
TG_B_J_20230314,3144.5
TG_B_J_20230315,3995.0
TG_B_J_20230316,3538.0
TG_B_J_20230317,3445.0
TG_B_J_20230318,3415.3
TG_B_J_20230319,0.0
TG_B_J_20230320,3174.2
TG_B_J_20230321,3206.8
TG_B_J_20230322,3681.3
TG_B_J_20230323,3544.8
TG_B_J_20230324,3559.0
TG_B_J_20230325,3568.2
TG_B_J_20230326,0.0
TG_B_J_20230327,3393.8
TG_B_J_20230328,3378.9
TG_B_J_20230329,3660.6
TG_B_J_20230330,3626.2
TG_B_J_20230331,3682.6
TG_B_S_20230304,3655.0
TG_B_S_20230305,0.0
TG_B_S_20230306,3553.8
TG_B_S_20230307,3655.1
TG_B_S_20230308,3842.1
TG_B_S_20230309,3868.2
TG_B_S_20230310,4182.3
TG_B_S_20230311,3774.4
TG_B_S_20230312,0.0
TG_B_S_20230313,3421.7
TG_B_S_20230314,3619.2
TG_B_S_20230315,3761.0
TG_B_S_20230316,3811.0
TG_B_S_20230317,4105.4
TG_B_S_20230318,3872.3
TG_B_S_20230319,0.0
TG_B_S_20230320,3440.8
TG_B_S_20230321,3655.8
TG_B_S_20230322,3781.1
TG_B_S_20230323,3842.0
TG_B_S_20230324,4095.5
TG_B_S_20230325,3968.2
TG_B_S_20230326,0.0
TG_B_S_20230327,3533.1
TG_B_S_20230328,3727.5
TG_B_S_20230329,3817.8
TG_B_S_20230330,3895.9
TG_B_S_20230331,4100.8
TG_C_J_20230304,4822.5
TG_C_J_20230305,0.0
TG_C_J_20230306,4652.2
TG_C_J_20230307,3406.5
TG_C_J_20230308,4112.3
TG_C_J_20230309,4132.8
TG_C_J_20230310,4974.4
TG_C_J_20230311,4629.9
TG_C_J_20230312,0.0
TG_C_J_20230313,4582.8
TG_C_J_20230314,3967.3
TG_C_J_20230315,4362.4
TG_C_J_20230316,4319.4
TG_C_J_20230317,4872.7
TG_C_J_20230318,4603.3
TG_C_J_20230319,0.0
TG_C_J_20230320,4616.2
TG_C_J_20230321,4336.2
TG_C_J_20230322,4557.5
TG_C_J_20230323,4532.6
TG_C_J_20230324,4884.9
TG_C_J_20230325,4713.1
TG_C_J_20230326,0.0
TG_C_J_20230327,4729.1
TG_C_J_20230328,4603.8
TG_C_J_20230329,4728.7
TG_C_J_20230330,4699.6
TG_C_J_20230331,4923.6
TG_C_S_20230304,4673.9
TG_C_S_20230305,0.0
TG_C_S_20230306,4818.9
TG_C_S_20230307,5036.2
TG_C_S_20230308,5505.7
TG_C_S_20230309,5649.2
TG_C_S_20230310,6107.8
TG_C_S_20230311,6203.0
TG_C_S_20230312,0.0
TG_C_S_20230313,6596.3
TG_C_S_20230314,7051.4
TG_C_S_20230315,7904.4
TG_C_S_20230316,8395.7
TG_C_S_20230317,9190.3
TG_C_S_20230318,9746.2
TG_C_S_20230319,0.0
TG_C_S_20230320,11223.4
TG_C_S_20230321,12301.3
TG_C_S_20230322,13791.0
TG_C_S_20230323,15151.0
TG_C_S_20230324,16940.5
TG_C_S_20230325,18632.0
TG_C_S_20230326,0.0
TG_C_S_20230327,22927.7
TG_C_S_20230328,25733.5
TG_C_S_20230329,29178.2
TG_C_S_20230330,32851.6
TG_C_S_20230331,37206.8
TG_D_J_20230304,1269.9
TG_D_J_20230305,0.0
TG_D_J_20230306,495.7
TG_D_J_20230307,530.3
TG_D_J_20230308,465.6
TG_D_J_20230309,535.3
TG_D_J_20230310,531.5
TG_D_J_20230311,1183.7
TG_D_J_20230312,0.0
TG_D_J_20230313,859.0
TG_D_J_20230314,927.6
TG_D_J_20230315,873.7
TG_D_J_20230316,973.4
TG_D_J_20230317,967.7
TG_D_J_20230318,1298.6
TG_D_J_20230319,0.0
TG_D_J_20230320,1202.2
TG_D_J_20230321,1280.3
TG_D_J_20230322,1257.4
TG_D_J_20230323,1310.3
TG_D_J_20230324,1362.2
TG_D_J_20230325,1501.0
TG_D_J_20230326,0.0
TG_D_J_20230327,1501.9
TG_D_J_20230328,1541.5
TG_D_J_20230329,1560.2
TG_D_J_20230330,1583.9
TG_D_J_20230331,1632.4
TG_D_S_20230304,3413.1
TG_D_S_20230305,0.0
TG_D_S_20230306,3231.0
TG_D_S_20230307,3205.9
TG_D_S_20230308,4014.8
TG_D_S_20230309,3709.3
TG_D_S_20230310,3868.1
TG_D_S_20230311,3469.7
TG_D_S_20230312,0.0
TG_D_S_20230313,3216.2
TG_D_S_20230314,3250.7
TG_D_S_20230315,3682.3
TG_D_S_20230316,3521.7
TG_D_S_20230317,3741.3
TG_D_S_20230318,3533.4
TG_D_S_20230319,0.0
TG_D_S_20230320,3290.7
TG_D_S_20230321,3301.4
TG_D_S_20230322,3543.1
TG_D_S_20230323,3439.5
TG_D_S_20230324,3713.7
TG_D_S_20230325,3554.0
TG_D_S_20230326,0.0
TG_D_S_20230327,3351.2
TG_D_S_20230328,3408.3
TG_D_S_20230329,3499.7
TG_D_S_20230330,3532.4
