ID,answer
TG_A_J_20230304,5253.1
TG_A_J_20230305,0.0
TG_A_J_20230306,5931.9
TG_A_J_20230307,5702.9
TG_A_J_20230308,5575.8
TG_A_J_20230309,5226.1
TG_A_J_20230310,4833.1
TG_A_J_20230311,4944.8
TG_A_J_20230312,0.0
TG_A_J_20230313,5394.2
TG_A_J_20230314,5266.1
TG_A_J_20230315,5210.6
TG_A_J_20230316,5047.7
TG_A_J_20230317,4878.7
TG_A_J_20230318,4916.6
TG_A_J_20230319,0.0
TG_A_J_20230320,5180.2
TG_A_J_20230321,5091.4
TG_A_J_20230322,5079.6
TG_A_J_20230323,4995.5
TG_A_J_20230324,4949.0
TG_A_J_20230325,4969.0
TG_A_J_20230326,0.0
TG_A_J_20230327,5117.4
TG_A_J_20230328,5048.4
TG_A_J_20230329,5058.3
TG_A_J_20230330,5034.0
TG_A_J_20230331,5003.2
TG_A_S_20230304,5034.3
TG_A_S_20230305,0.0
TG_A_S_20230306,4594.6
TG_A_S_20230307,4556.7
TG_A_S_20230308,4956.8
TG_A_S_20230309,5181.3
TG_A_S_20230310,4843.1
TG_A_S_20230311,4917.3
TG_A_S_20230312,0.0
TG_A_S_20230313,4160.5
TG_A_S_20230314,4241.5
TG_A_S_20230315,4622.4
TG_A_S_20230316,4894.9
TG_A_S_20230317,4657.3
TG_A_S_20230318,4777.0
TG_A_S_20230319,0.0
TG_A_S_20230320,3864.6
TG_A_S_20230321,3973.9
TG_A_S_20230322,4328.7
TG_A_S_20230323,4623.8
TG_A_S_20230324,4477.6
TG_A_S_20230325,4630.9
TG_A_S_20230326,0.0
TG_A_S_20230327,3654.5
TG_A_S_20230328,3776.1
TG_A_S_20230329,4079.1
TG_A_S_20230330,4387.1
TG_A_S_20230331,4309.0
TG_B_J_20230304,3946.0
TG_B_J_20230305,0.0
TG_B_J_20230306,6131.9
TG_B_J_20230307,6289.2
TG_B_J_20230308,6722.2
TG_B_J_20230309,7320.1
TG_B_J_20230310,6196.3
TG_B_J_20230311,3412.6
TG_B_J_20230312,0.0
TG_B_J_20230313,4109.0
TG_B_J_20230314,4408.7
TG_B_J_20230315,5061.9
TG_B_J_20230316,5806.7
TG_B_J_20230317,5319.4
TG_B_J_20230318,3565.0
TG_B_J_20230319,0.0
TG_B_J_20230320,3511.8
TG_B_J_20230321,3656.2
TG_B_J_20230322,4477.6
TG_B_J_20230323,5190.8
TG_B_J_20230324,5155.5
TG_B_J_20230325,3570.8
TG_B_J_20230326,0.0
TG_B_J_20230327,3685.1
TG_B_J_20230328,3788.9
TG_B_J_20230329,4427.5
TG_B_J_20230330,5092.5
TG_B_J_20230331,4986.1
TG_B_S_20230304,4998.7
TG_B_S_20230305,0.0
TG_B_S_20230306,4685.0
TG_B_S_20230307,4904.9
TG_B_S_20230308,4707.3
TG_B_S_20230309,4568.2
TG_B_S_20230310,4974.7
TG_B_S_20230311,4685.0
TG_B_S_20230312,0.0
TG_B_S_20230313,4264.5
TG_B_S_20230314,4502.2
TG_B_S_20230315,4449.1
TG_B_S_20230316,4352.2
TG_B_S_20230317,4747.0
TG_B_S_20230318,4541.1
TG_B_S_20230319,0.0
TG_B_S_20230320,4155.7
TG_B_S_20230321,4349.1
TG_B_S_20230322,4313.2
TG_B_S_20230323,4247.5
TG_B_S_20230324,4572.1
TG_B_S_20230325,4532.0
TG_B_S_20230326,0.0
TG_B_S_20230327,4199.1
TG_B_S_20230328,4291.3
TG_B_S_20230329,4268.0
TG_B_S_20230330,4218.3
TG_B_S_20230331,4526.2
TG_C_J_20230304,5977.5
TG_C_J_20230305,0.0
TG_C_J_20230306,5908.4
TG_C_J_20230307,5602.1
TG_C_J_20230308,5579.9
TG_C_J_20230309,5531.0
TG_C_J_20230310,6231.9
TG_C_J_20230311,5551.0
TG_C_J_20230312,0.0
TG_C_J_20230313,5583.5
TG_C_J_20230314,5431.2
TG_C_J_20230315,5484.7
TG_C_J_20230316,5418.9
TG_C_J_20230317,5829.4
TG_C_J_20230318,5380.8
TG_C_J_20230319,0.0
TG_C_J_20230320,5424.6
TG_C_J_20230321,5385.6
TG_C_J_20230322,5415.1
TG_C_J_20230323,5406.2
TG_C_J_20230324,5650.7
TG_C_J_20230325,5346.1
TG_C_J_20230326,0.0
TG_C_J_20230327,5393.4
TG_C_J_20230328,5371.4
TG_C_J_20230329,5412.3
TG_C_J_20230330,5416.5
TG_C_J_20230331,5534.7
TG_C_S_20230304,5277.5
TG_C_S_20230305,0.0
TG_C_S_20230306,5193.2
TG_C_S_20230307,5088.0
TG_C_S_20230308,5327.0
TG_C_S_20230309,5345.5
TG_C_S_20230310,5430.5
TG_C_S_20230311,4979.9
TG_C_S_20230312,0.0
TG_C_S_20230313,4800.5
TG_C_S_20230314,4731.1
TG_C_S_20230315,5066.5
TG_C_S_20230316,5025.5
TG_C_S_20230317,5186.0
TG_C_S_20230318,4753.1
TG_C_S_20230319,0.0
TG_C_S_20230320,4525.9
TG_C_S_20230321,4477.9
TG_C_S_20230322,4818.1
TG_C_S_20230323,4751.6
TG_C_S_20230324,4963.2
TG_C_S_20230325,4571.7
TG_C_S_20230326,0.0
TG_C_S_20230327,4327.4
TG_C_S_20230328,4300.8
TG_C_S_20230329,4618.3
TG_C_S_20230330,4535.1
TG_C_S_20230331,4748.0
TG_D_J_20230304,5929.0
TG_D_J_20230305,0.0
TG_D_J_20230306,7855.5
TG_D_J_20230307,6072.3
TG_D_J_20230308,5145.4
TG_D_J_20230309,4814.6
TG_D_J_20230310,5168.4
TG_D_J_20230311,5361.7
TG_D_J_20230312,0.0
TG_D_J_20230313,5945.1
TG_D_J_20230314,5541.9
TG_D_J_20230315,4739.6
TG_D_J_20230316,4572.5
TG_D_J_20230317,4757.8
TG_D_J_20230318,5078.6
TG_D_J_20230319,0.0
TG_D_J_20230320,5008.8
TG_D_J_20230321,5049.6
TG_D_J_20230322,4566.7
TG_D_J_20230323,4436.1
TG_D_J_20230324,4513.8
TG_D_J_20230325,4801.8
TG_D_J_20230326,0.0
TG_D_J_20230327,4531.9
TG_D_J_20230328,4684.9
TG_D_J_20230329,4476.3
TG_D_J_20230330,4365.7
TG_D_J_20230331,4350.2
TG_D_S_20230304,4861.5
TG_D_S_20230305,0.0
TG_D_S_20230306,4787.3
TG_D_S_20230307,4342.9
TG_D_S_20230308,4105.9
TG_D_S_20230309,4741.9
TG_D_S_20230310,4722.5
TG_D_S_20230311,4332.8
