ID,answer
TG_A_J_20230304,2973.4
TG_A_J_20230305,0.0
TG_A_J_20230306,3000.0
TG_A_J_20230307,3391.7
TG_A_J_20230308,3340.5
TG_A_J_20230309,3349.4
TG_A_J_20230310,3469.2
TG_A_J_20230311,3132.6
TG_A_J_20230312,0.0
TG_A_J_20230313,3199.2
TG_A_J_20230314,3380.4
TG_A_J_20230315,3386.5
TG_A_J_20230316,3438.7
TG_A_J_20230317,3437.8
TG_A_J_20230318,3319.2
TG_A_J_20230319,0.0
TG_A_J_20230320,3366.1
TG_A_J_20230321,3437.3
TG_A_J_20230322,3459.1
TG_A_J_20230323,3515.5
TG_A_J_20230324,3501.2
TG_A_J_20230325,3455.5
TG_A_J_20230326,0.0
TG_A_J_20230327,3504.7
TG_A_J_20230328,3539.2
TG_A_J_20230329,3543.5
TG_A_J_20230330,3575.4
TG_A_J_20230331,3568.1
TG_A_S_20230304,4258.5
TG_A_S_20230305,0.0
TG_A_S_20230306,3825.2
TG_A_S_20230307,3808.2
TG_A_S_20230308,4002.9
TG_A_S_20230309,4127.7
TG_A_S_20230310,4046.2
TG_A_S_20230311,4287.7
TG_A_S_20230312,0.0
TG_A_S_20230313,3584.0
TG_A_S_20230314,3680.8
TG_A_S_20230315,3888.2
TG_A_S_20230316,4046.7
TG_A_S_20230317,3997.4
TG_A_S_20230318,4276.6
TG_A_S_20230319,0.0
TG_A_S_20230320,3417.9
TG_A_S_20230321,3555.4
TG_A_S_20230322,3793.7
TG_A_S_20230323,3974.3
TG_A_S_20230324,3969.0
TG_A_S_20230325,4267.3
TG_A_S_20230326,0.0
TG_A_S_20230327,3352.4
TG_A_S_20230328,3504.0
TG_A_S_20230329,3724.4
TG_A_S_20230330,3915.4
TG_A_S_20230331,3947.4
TG_B_J_20230304,3134.7
TG_B_J_20230305,0.0
TG_B_J_20230306,3237.3
TG_B_J_20230307,3141.8
TG_B_J_20230308,4740.2
TG_B_J_20230309,3582.3
TG_B_J_20230310,3404.8
TG_B_J_20230311,3322.8
TG_B_J_20230312,0.0
TG_B_J_20230313,3164.8
TG_B_J_20230314,3165.5
TG_B_J_20230315,4015.8
