ID,answer
TG_A_J_20230304,2695.0
TG_A_J_20230305,0.0
TG_A_J_20230306,2699.9
TG_A_J_20230307,3082.9
TG_A_J_20230308,3008.6
TG_A_J_20230309,2998.4
TG_A_J_20230310,3003.6
TG_A_J_20230311,2581.1
TG_A_J_20230312,0.0
TG_A_J_20230313,2605.8
TG_A_J_20230314,2730.9
TG_A_J_20230315,2742.7
TG_A_J_20230316,2741.5
TG_A_J_20230317,2679.3
TG_A_J_20230318,2490.9
TG_A_J_20230319,0.0
TG_A_J_20230320,2484.2
TG_A_J_20230321,2524.1
TG_A_J_20230322,2535.9
TG_A_J_20230323,2525.1
TG_A_J_20230324,2471.6
TG_A_J_20230325,2382.4
TG_A_J_20230326,0.0
TG_A_J_20230327,2356.8
TG_A_J_20230328,2364.4
TG_A_J_20230329,2364.4
TG_A_J_20230330,2348.4
TG_A_J_20230331,2310.3
TG_A_S_20230304,4185.0
TG_A_S_20230305,0.0
TG_A_S_20230306,3844.6
TG_A_S_20230307,3818.2
TG_A_S_20230308,3994.6
TG_A_S_20230309,4096.8
TG_A_S_20230310,4011.8
TG_A_S_20230311,4145.7
TG_A_S_20230312,0.0
TG_A_S_20230313,3615.4
TG_A_S_20230314,3662.8
TG_A_S_20230315,3838.3
TG_A_S_20230316,3975.6
TG_A_S_20230317,3928.6
TG_A_S_20230318,4089.3
TG_A_S_20230319,0.0
TG_A_S_20230320,3453.8
TG_A_S_20230321,3537.3
TG_A_S_20230322,3702.7
TG_A_S_20230323,3859.0
TG_A_S_20230324,3842.6
TG_A_S_20230325,4020.6
TG_A_S_20230326,0.0
TG_A_S_20230327,3340.9
TG_A_S_20230328,3436.4
TG_A_S_20230329,3586.0
TG_A_S_20230330,3749.2
TG_A_S_20230331,3756.3
TG_B_J_20230304,2845.3
TG_B_J_20230305,0.0
TG_B_J_20230306,3022.6
TG_B_J_20230307,2949.9
TG_B_J_20230308,4719.2
TG_B_J_20230309,3463.4
TG_B_J_20230310,3362.7
TG_B_J_20230311,2981.6
TG_B_J_20230312,0.0
TG_B_J_20230313,2832.1
TG_B_J_20230314,2834.6
TG_B_J_20230315,3792.4
TG_B_J_20230316,3254.1
TG_B_J_20230317,3187.6
TG_B_J_20230318,2964.2
TG_B_J_20230319,0.0
TG_B_J_20230320,2745.5
TG_B_J_20230321,2749.4
TG_B_J_20230322,3259.7
TG_B_J_20230323,3038.6
TG_B_J_20230324,3002.4
TG_B_J_20230325,2874.8
TG_B_J_20230326,0.0
TG_B_J_20230327,2678.4
TG_B_J_20230328,2670.3
TG_B_J_20230329,2935.2
TG_B_J_20230330,2847.8
TG_B_J_20230331,2829.3
TG_B_S_20230304,3652.9
TG_B_S_20230305,0.0
TG_B_S_20230306,3593.8
TG_B_S_20230307,3612.0
TG_B_S_20230308,3808.4
TG_B_S_20230309,3779.5
TG_B_S_20230310,4050.6
TG_B_S_20230311,3606.9
TG_B_S_20230312,0.0
TG_B_S_20230313,3326.1
TG_B_S_20230314,3449.3
TG_B_S_20230315,3620.9
TG_B_S_20230316,3601.6
TG_B_S_20230317,3864.2
TG_B_S_20230318,3544.2
TG_B_S_20230319,0.0
TG_B_S_20230320,3173.5
TG_B_S_20230321,3323.6
TG_B_S_20230322,3468.0
TG_B_S_20230323,3458.1
TG_B_S_20230324,3692.3
TG_B_S_20230325,3470.6
TG_B_S_20230326,0.0
TG_B_S_20230327,3085.8
TG_B_S_20230328,3225.7
