ID,answer
TG_A_J_20230304,2611.0
TG_A_J_20230305,0.0
TG_A_J_20230306,2606.1
TG_A_J_20230307,2964.8
TG_A_J_20230308,2884.2
TG_A_J_20230309,2859.5
TG_A_J_20230310,2850.4
TG_A_J_20230311,2407.2
TG_A_J_20230312,0.0
TG_A_J_20230313,2413.1
TG_A_J_20230314,2516.8
TG_A_J_20230315,2515.5
TG_A_J_20230316,2497.7
TG_A_J_20230317,2424.3
TG_A_J_20230318,2229.4
TG_A_J_20230319,0.0
TG_A_J_20230320,2202.7
TG_A_J_20230321,2226.2
TG_A_J_20230322,2223.9
TG_A_J_20230323,2199.2
TG_A_J_20230324,2137.2
TG_A_J_20230325,2043.2
TG_A_J_20230326,0.0
TG_A_J_20230327,1999.6
TG_A_J_20230328,1994.7
TG_A_J_20230329,1982.6
TG_A_J_20230330,1955.8
TG_A_J_20230331,1910.6
TG_A_S_20230304,4230.9
TG_A_S_20230305,0.0
TG_A_S_20230306,3874.3
TG_A_S_20230307,3862.8
TG_A_S_20230308,4038.2
TG_A_S_20230309,4141.3
TG_A_S_20230310,4047.4
TG_A_S_20230311,4233.8
TG_A_S_20230312,0.0
TG_A_S_20230313,3678.3
TG_A_S_20230314,3749.2
TG_A_S_20230315,3923.9
TG_A_S_20230316,4063.4
TG_A_S_20230317,4001.7
TG_A_S_20230318,4216.9
TG_A_S_20230319,0.0
TG_A_S_20230320,3552.3
TG_A_S_20230321,3663.6
TG_A_S_20230322,3829.0
TG_A_S_20230323,3988.9
TG_A_S_20230324,3954.4
TG_A_S_20230325,4186.1
TG_A_S_20230326,0.0
TG_A_S_20230327,3476.7
TG_A_S_20230328,3601.3
TG_A_S_20230329,3751.9
TG_A_S_20230330,3920.0
TG_A_S_20230331,3907.4
TG_B_J_20230304,2864.0
TG_B_J_20230305,0.0
TG_B_J_20230306,3030.1
TG_B_J_20230307,2959.7
TG_B_J_20230308,4726.6
TG_B_J_20230309,3469.9
TG_B_J_20230310,3378.7
TG_B_J_20230311,3010.8
TG_B_J_20230312,0.0
TG_B_J_20230313,2852.2
TG_B_J_20230314,2856.0
TG_B_J_20230315,3810.7
TG_B_J_20230316,3270.8
TG_B_J_20230317,3213.8
TG_B_J_20230318,3000.5
TG_B_J_20230319,0.0
TG_B_J_20230320,2777.4
TG_B_J_20230321,2781.8
TG_B_J_20230322,3289.4
TG_B_J_20230323,3066.4
TG_B_J_20230324,3037.2
TG_B_J_20230325,2917.3
TG_B_J_20230326,0.0
TG_B_J_20230327,2720.2
TG_B_J_20230328,2712.3
TG_B_J_20230329,2975.3
TG_B_J_20230330,2886.1
TG_B_J_20230331,2872.1
TG_B_S_20230304,3698.7
TG_B_S_20230305,0.0
TG_B_S_20230306,3598.7
TG_B_S_20230307,3656.6
TG_B_S_20230308,3844.3
TG_B_S_20230309,3821.5
TG_B_S_20230310,4097.2
TG_B_S_20230311,3693.8
TG_B_S_20230312,0.0
TG_B_S_20230313,3351.1
TG_B_S_20230314,3527.2
TG_B_S_20230315,3691.5
TG_B_S_20230316,3680.3
TG_B_S_20230317,3951.0
TG_B_S_20230318,3667.6
TG_B_S_20230319,0.0
TG_B_S_20230320,3227.6
TG_B_S_20230321,3430.3
TG_B_S_20230322,3571.8
TG_B_S_20230323,3570.0
TG_B_S_20230324,3814.7
TG_B_S_20230325,3626.8
TG_B_S_20230326,0.0
TG_B_S_20230327,3174.2
TG_B_S_20230328,3359.9
TG_B_S_20230329,3478.7
TG_B_S_20230330,3483.2
TG_B_S_20230331,3693.6
TG_C_J_20230304,4392.0
TG_C_J_20230305,0.0
TG_C_J_20230306,4189.7
TG_C_J_20230307,2965.2
TG_C_J_20230308,3610.5
TG_C_J_20230309,3615.7
TG_C_J_20230310,4383.3
TG_C_J_20230311,3786.9
TG_C_J_20230312,0.0
TG_C_J_20230313,3691.9
TG_C_J_20230314,3079.0
TG_C_J_20230315,3426.3
TG_C_J_20230316,3381.0
TG_C_J_20230317,3837.0
TG_C_J_20230318,3432.9
TG_C_J_20230319,0.0
TG_C_J_20230320,3372.3
TG_C_J_20230321,3068.4
TG_C_J_20230322,3240.4
TG_C_J_20230323,3196.5
TG_C_J_20230324,3450.5
TG_C_J_20230325,3192.2
TG_C_J_20230326,0.0
TG_C_J_20230327,3142.1
TG_C_J_20230328,2989.8
TG_C_J_20230329,3065.9
TG_C_J_20230330,3032.3
TG_C_J_20230331,3164.6
TG_C_S_20230304,4147.8
TG_C_S_20230305,0.0
TG_C_S_20230306,3921.8
TG_C_S_20230307,3968.8
TG_C_S_20230308,4234.1
TG_C_S_20230309,4248.1
TG_C_S_20230310,4572.8
TG_C_S_20230311,4038.7
TG_C_S_20230312,0.0
TG_C_S_20230313,3766.2
TG_C_S_20230314,3808.2
TG_C_S_20230315,4111.3
TG_C_S_20230316,4089.4
TG_C_S_20230317,4408.2
TG_C_S_20230318,3956.3
TG_C_S_20230319,0.0
TG_C_S_20230320,3675.6
TG_C_S_20230321,3712.3
TG_C_S_20230322,4000.5
TG_C_S_20230323,3971.3
TG_C_S_20230324,4260.1
TG_C_S_20230325,3891.4
TG_C_S_20230326,0.0
TG_C_S_20230327,3624.7
TG_C_S_20230328,3655.4
TG_C_S_20230329,3905.7
TG_C_S_20230330,3881.3
TG_C_S_20230331,4130.6
TG_D_J_20230304,907.8
TG_D_J_20230305,0.0
TG_D_J_20230306,92.0
TG_D_J_20230307,113.7
TG_D_J_20230308,48.9
TG_D_J_20230309,93.0
TG_D_J_20230310,90.9
TG_D_J_20230311,490.1
TG_D_J_20230312,0.0
TG_D_J_20230313,127.4
TG_D_J_20230314,146.3
TG_D_J_20230315,89.0
TG_D_J_20230316,126.3
TG_D_J_20230317,125.5
TG_D_J_20230318,299.4
