ID,answer
TG_A_J_20230304,2792.2
TG_A_J_20230305,0.0
TG_A_J_20230306,2875.4
TG_A_J_20230307,3255.9
TG_A_J_20230308,3188.8
TG_A_J_20230309,3193.2
TG_A_J_20230310,3208.5
TG_A_J_20230311,2836.9
TG_A_J_20230312,0.0
TG_A_J_20230313,2934.3
TG_A_J_20230314,3068.3
TG_A_J_20230315,3093.6
TG_A_J_20230316,3108.3
TG_A_J_20230317,3062.1
TG_A_J_20230318,2908.4
TG_A_J_20230319,0.0
TG_A_J_20230320,2960.9
TG_A_J_20230321,3016.4
TG_A_J_20230322,3044.5
TG_A_J_20230323,3050.4
TG_A_J_20230324,3015.4
TG_A_J_20230325,2953.2
TG_A_J_20230326,0.0
TG_A_J_20230327,2977.1
TG_A_J_20230328,3002.7
TG_A_J_20230329,3020.0
TG_A_J_20230330,3021.3
TG_A_J_20230331,3002.1
TG_A_S_20230304,4213.5
TG_A_S_20230305,0.0
TG_A_S_20230306,3865.9
TG_A_S_20230307,3855.3
TG_A_S_20230308,4032.4
TG_A_S_20230309,4130.5
TG_A_S_20230310,4036.9
TG_A_S_20230311,4201.8
TG_A_S_20230312,0.0
TG_A_S_20230313,3661.0
TG_A_S_20230314,3733.4
TG_A_S_20230315,3911.3
TG_A_S_20230316,4042.8
TG_A_S_20230317,3981.4
TG_A_S_20230318,4172.4
TG_A_S_20230319,0.0
TG_A_S_20230320,3525.6
TG_A_S_20230321,3638.8
TG_A_S_20230322,3808.8
TG_A_S_20230323,3959.1
TG_A_S_20230324,3924.8
TG_A_S_20230325,4130.9
TG_A_S_20230326,0.0
TG_A_S_20230327,3440.4
TG_A_S_20230328,3567.0
TG_A_S_20230329,3723.3
TG_A_S_20230330,3881.3
TG_A_S_20230331,3868.8
TG_B_J_20230304,2964.9
TG_B_J_20230305,0.0
TG_B_J_20230306,3192.1
TG_B_J_20230307,3122.5
TG_B_J_20230308,4856.0
TG_B_J_20230309,3611.2
TG_B_J_20230310,3529.7
TG_B_J_20230311,3226.4
TG_B_J_20230312,0.0
TG_B_J_20230313,3148.4
TG_B_J_20230314,3160.2
TG_B_J_20230315,4084.0
TG_B_J_20230316,3555.3
TG_B_J_20230317,3509.6
TG_B_J_20230318,3338.7
TG_B_J_20230319,0.0
TG_B_J_20230320,3194.4
TG_B_J_20230321,3213.3
TG_B_J_20230322,3702.3
TG_B_J_20230323,3489.1
TG_B_J_20230324,3471.2
TG_B_J_20230325,3380.4
TG_B_J_20230326,0.0
TG_B_J_20230327,3252.2
TG_B_J_20230328,3262.5
TG_B_J_20230329,3518.9
TG_B_J_20230330,3439.6
TG_B_J_20230331,3436.9
TG_B_S_20230304,3686.9
TG_B_S_20230305,0.0
TG_B_S_20230306,3665.2
TG_B_S_20230307,3673.2
TG_B_S_20230308,3870.5
TG_B_S_20230309,3848.5
TG_B_S_20230310,4118.1
TG_B_S_20230311,3687.3
TG_B_S_20230312,0.0
TG_B_S_20230313,3460.3
TG_B_S_20230314,3571.7
TG_B_S_20230315,3744.2
TG_B_S_20230316,3735.6
TG_B_S_20230317,3997.0
TG_B_S_20230318,3678.1
TG_B_S_20230319,0.0
TG_B_S_20230320,3365.5
TG_B_S_20230321,3506.1
TG_B_S_20230322,3651.4
TG_B_S_20230323,3653.8
TG_B_S_20230324,3888.1
TG_B_S_20230325,3661.7
TG_B_S_20230326,0.0
TG_B_S_20230327,3332.6
TG_B_S_20230328,3466.8
TG_B_S_20230329,3585.3
TG_B_S_20230330,3595.1
TG_B_S_20230331,3795.4
TG_C_J_20230304,4570.3
TG_C_J_20230305,0.0
