ID,answer
TG_A_J_20230304,2789.5
TG_A_J_20230305,0.0
TG_A_J_20230306,2865.8
TG_A_J_20230307,3247.3
TG_A_J_20230308,3182.8
TG_A_J_20230309,3186.6
TG_A_J_20230310,3200.1
TG_A_J_20230311,2827.5
TG_A_J_20230312,0.0
TG_A_J_20230313,2918.6
TG_A_J_20230314,3053.2
TG_A_J_20230315,3079.8
TG_A_J_20230316,3093.8
TG_A_J_20230317,3046.2
TG_A_J_20230318,2891.4
TG_A_J_20230319,0.0
TG_A_J_20230320,2939.3
TG_A_J_20230321,2994.8
TG_A_J_20230322,3023.1
TG_A_J_20230323,3028.3
TG_A_J_20230324,2992.1
TG_A_J_20230325,2928.6
TG_A_J_20230326,0.0
TG_A_J_20230327,2949.2
TG_A_J_20230328,2974.3
TG_A_J_20230329,2991.2
TG_A_J_20230330,2991.7
TG_A_J_20230331,2971.4
TG_A_S_20230304,4191.6
TG_A_S_20230305,0.0
TG_A_S_20230306,3877.9
TG_A_S_20230307,3859.6
TG_A_S_20230308,4034.9
TG_A_S_20230309,4126.6
TG_A_S_20230310,4033.4
TG_A_S_20230311,4164.1
TG_A_S_20230312,0.0
TG_A_S_20230313,3692.1
TG_A_S_20230314,3748.8
TG_A_S_20230315,3922.0
TG_A_S_20230316,4040.5
TG_A_S_20230317,3978.9
TG_A_S_20230318,4125.2
TG_A_S_20230319,0.0
TG_A_S_20230320,3578.1
TG_A_S_20230321,3669.2
TG_A_S_20230322,3831.4
TG_A_S_20230323,3962.9
TG_A_S_20230324,3927.2
TG_A_S_20230325,4080.0
TG_A_S_20230326,0.0
TG_A_S_20230327,3513.3
TG_A_S_20230328,3614.1
TG_A_S_20230329,3760.4
TG_A_S_20230330,3894.7
TG_A_S_20230331,3879.2
TG_B_J_20230304,2957.4
TG_B_J_20230305,0.0
TG_B_J_20230306,3150.2
TG_B_J_20230307,3094.2
TG_B_J_20230308,4879.2
TG_B_J_20230309,3631.0
TG_B_J_20230310,3535.5
TG_B_J_20230311,3221.2
TG_B_J_20230312,0.0
TG_B_J_20230313,3095.5
TG_B_J_20230314,3117.8
TG_B_J_20230315,4096.3
TG_B_J_20230316,3571.2
TG_B_J_20230317,3514.4
TG_B_J_20230318,3334.3
TG_B_J_20230319,0.0
TG_B_J_20230320,3143.9
TG_B_J_20230321,3166.9
TG_B_J_20230322,3698.5
TG_B_J_20230323,3493.3
TG_B_J_20230324,3470.0
TG_B_J_20230325,3373.4
TG_B_J_20230326,0.0
TG_B_J_20230327,3207.8
TG_B_J_20230328,3217.3
TG_B_J_20230329,3502.4
TG_B_J_20230330,3431.8
TG_B_J_20230331,3427.8
TG_B_S_20230304,3695.9
TG_B_S_20230305,0.0
TG_B_S_20230306,3656.8
TG_B_S_20230307,3664.1
