ID,answer
TG_A_J_20230304,2751.6
TG_A_J_20230305,0.0
TG_A_J_20230306,2882.7
TG_A_J_20230307,3233.3
TG_A_J_20230308,3175.1
TG_A_J_20230309,3168.4
TG_A_J_20230310,3155.8
TG_A_J_20230311,2802.4
TG_A_J_20230312,0.0
TG_A_J_20230313,2919.8
TG_A_J_20230314,3037.7
TG_A_J_20230315,3058.9
TG_A_J_20230316,3058.1
TG_A_J_20230317,2999.2
TG_A_J_20230318,2864.9
TG_A_J_20230319,0.0
TG_A_J_20230320,2922.6
TG_A_J_20230321,2969.1
TG_A_J_20230322,2988.4
TG_A_J_20230323,2982.4
TG_A_J_20230324,2943.1
TG_A_J_20230325,2891.8
TG_A_J_20230326,0.0
TG_A_J_20230327,2915.1
TG_A_J_20230328,2934.4
TG_A_J_20230329,2943.4
TG_A_J_20230330,2936.9
TG_A_J_20230331,2915.8
TG_A_S_20230304,4227.6
TG_A_S_20230305,0.0
TG_A_S_20230306,3893.5
TG_A_S_20230307,3870.1
TG_A_S_20230308,4055.8
TG_A_S_20230309,4141.7
TG_A_S_20230310,4051.1
TG_A_S_20230311,4229.4
TG_A_S_20230312,0.0
TG_A_S_20230313,3716.0
TG_A_S_20230314,3767.0
TG_A_S_20230315,3958.1
TG_A_S_20230316,4069.4
TG_A_S_20230317,4011.5
TG_A_S_20230318,4214.0
TG_A_S_20230319,0.0
TG_A_S_20230320,3606.9
TG_A_S_20230321,3693.8
TG_A_S_20230322,3878.9
TG_A_S_20230323,4004.3
TG_A_S_20230324,3972.5
TG_A_S_20230325,4187.2
TG_A_S_20230326,0.0
TG_A_S_20230327,3546.2
TG_A_S_20230328,3644.7
TG_A_S_20230329,3816.5
TG_A_S_20230330,3947.2
TG_A_S_20230331,3935.7
TG_B_J_20230304,2939.5
TG_B_J_20230305,0.0
TG_B_J_20230306,3146.5
TG_B_J_20230307,3098.4
TG_B_J_20230308,4860.7
TG_B_J_20230309,3609.9
TG_B_J_20230310,3517.1
TG_B_J_20230311,3190.1
TG_B_J_20230312,0.0
TG_B_J_20230313,3080.5
TG_B_J_20230314,3112.1
TG_B_J_20230315,4067.8
TG_B_J_20230316,3537.4
TG_B_J_20230317,3481.5
TG_B_J_20230318,3292.3
TG_B_J_20230319,0.0
TG_B_J_20230320,3114.7
TG_B_J_20230321,3145.8
TG_B_J_20230322,3660.4
TG_B_J_20230323,3449.1
